step,x,y,z,r
0,0.000000,0.000000,-20.000000,20.000000
1,0.014367,0.000000,-19.952108,19.952113
2,0.028735,0.000000,-19.904214,19.904235
3,0.043102,0.000000,-19.856319,19.856366
4,0.057470,0.000000,-19.808422,19.808506
5,0.071837,0.000000,-19.760524,19.760654
6,0.086204,0.000000,-19.712624,19.712812
7,0.100572,0.000000,-19.664722,19.664979
8,0.114939,0.000000,-19.616819,19.617155
9,0.129306,0.000000,-19.568914,19.569341
10,0.143674,0.000000,-19.521007,19.521536
11,0.158041,0.000000,-19.473098,19.473740
12,0.172408,0.000000,-19.425188,19.425953
13,0.186776,0.000000,-19.377276,19.378177
14,0.201143,0.000000,-19.329363,19.330409
15,0.215510,0.000000,-19.281447,19.282652
16,0.229877,0.000000,-19.233530,19.234904
17,0.244245,0.000000,-19.185611,19.187166
18,0.258612,0.000000,-19.137690,19.139438
19,0.272979,0.000000,-19.089768,19.091719
20,0.287346,0.000000,-19.041843,19.044011
21,0.301713,0.000000,-18.993917,18.996313
22,0.316080,0.000000,-18.945988,18.948625
23,0.330447,0.000000,-18.898058,18.900947
24,0.344814,0.000000,-18.850126,18.853279
25,0.359181,0.000000,-18.802192,18.805622
26,0.373548,0.000000,-18.754256,18.757975
27,0.387915,0.000000,-18.706317,18.710339
28,0.402282,0.000000,-18.658377,18.662713
29,0.416649,0.000000,-18.610435,18.615098
30,0.431016,0.000000,-18.562491,18.567494
31,0.445383,0.000000,-18.514544,18.519901
32,0.459749,0.000000,-18.466596,18.472318
33,0.474116,0.000000,-18.418645,18.424746
34,0.488482,0.000000,-18.370693,18.377186
35,0.502849,0.000000,-18.322738,18.329637
36,0.517215,0.000000,-18.274781,18.282098
37,0.531582,0.000000,-18.226821,18.234571
38,0.545948,0.000000,-18.178860,18.187056
39,0.560314,0.000000,-18.130896,18.139552
40,0.574681,0.000000,-18.082930,18.092059
41,0.589047,0.000000,-18.034961,18.044578
42,0.603413,0.000000,-17.986991,17.997109
43,0.617779,0.000000,-17.939018,17.949652
44,0.632144,0.000000,-17.891042,17.902206
45,0.646510,0.000000,-17.843064,17.854773
46,0.660876,0.000000,-17.795084,17.807351
47,0.675242,0.000000,-17.747101,17.759942
48,0.689607,0.000000,-17.699116,17.712545
49,0.703972,0.000000,-17.651128,17.665161
50,0.718338,0.000000,-17.603138,17.617788
51,0.732703,0.000000,-17.555145,17.570429
52,0.747068,0.000000,-17.507149,17.523081
53,0.761433,0.000000,-17.459151,17.475747
54,0.775798,0.000000,-17.411150,17.428426
55,0.790163,0.000000,-17.363147,17.381117
56,0.804527,0.000000,-17.315141,17.333821
57,0.818892,0.000000,-17.267132,17.286539
58,0.833256,0.000000,-17.219120,17.239269
59,0.847620,0.000000,-17.171106,17.192013
60,0.861985,0.000000,-17.123088,17.144771
61,0.876349,0.000000,-17.075068,17.097542
62,0.890712,0.000000,-17.027045,17.050326
63,0.905076,0.000000,-16.979019,17.003125
64,0.919439,0.000000,-16.930990,16.955937
65,0.933803,0.000000,-16.882958,16.908763
66,0.948166,0.000000,-16.834923,16.861603
67,0.962529,0.000000,-16.786885,16.814457
68,0.976892,0.000000,-16.738844,16.767326
69,0.991254,0.000000,-16.690800,16.720209
70,1.005617,0.000000,-16.642752,16.673106
71,1.019979,0.000000,-16.594701,16.626018
72,1.034341,0.000000,-16.546648,16.578945
73,1.048703,0.000000,-16.498590,16.531886
74,1.063065,0.000000,-16.450530,16.484843
75,1.077426,0.000000,-16.402466,16.437814
76,1.091787,0.000000,-16.354399,16.390801
77,1.106148,0.000000,-16.306328,16.343803
78,1.120509,0.000000,-16.258254,16.296821
79,1.134869,0.000000,-16.210177,16.249854
80,1.149230,0.000000,-16.162096,16.202903
81,1.163590,0.000000,-16.114011,16.155968
82,1.177949,0.000000,-16.065923,16.109048
83,1.192309,0.000000,-16.017831,16.062145
84,1.206668,0.000000,-15.969735,16.015258
85,1.221027,0.000000,-15.921635,15.968387
86,1.235386,0.000000,-15.873532,15.921533
87,1.249744,0.000000,-15.825425,15.874695
88,1.264102,0.000000,-15.777314,15.827874
89,1.278460,0.000000,-15.729199,15.781070
90,1.292817,0.000000,-15.681080,15.734283
91,1.307174,0.000000,-15.632957,15.687513
92,1.321531,0.000000,-15.584830,15.640760
93,1.335887,0.000000,-15.536699,15.594025
94,1.350243,0.000000,-15.488564,15.547307
95,1.364599,0.000000,-15.440424,15.500607
96,1.378954,0.000000,-15.392280,15.453925
97,1.393309,0.000000,-15.344132,15.407261
98,1.407663,0.000000,-15.295980,15.360616
99,1.422017,0.000000,-15.247823,15.313988
100,1.436371,0.000000,-15.199661,15.267379
101,1.450724,0.000000,-15.151495,15.220789
102,1.465077,0.000000,-15.103325,15.174217
103,1.479429,0.000000,-15.055150,15.127665
104,1.493781,0.000000,-15.006970,15.081131
105,1.508132,0.000000,-14.958785,15.034617
106,1.522483,0.000000,-14.910596,14.988122
107,1.536833,0.000000,-14.862401,14.941647
108,1.551183,0.000000,-14.814202,14.895192
109,1.565533,0.000000,-14.765997,14.848757
110,1.579881,0.000000,-14.717788,14.802341
111,1.594230,0.000000,-14.669574,14.755946
112,1.608577,0.000000,-14.621354,14.709572
113,1.622925,0.000000,-14.573129,14.663218
114,1.637271,0.000000,-14.524898,14.616885
115,1.651617,0.000000,-14.476663,14.570573
116,1.665962,0.000000,-14.428422,14.524282
117,1.680307,0.000000,-14.380175,14.478013
118,1.694651,0.000000,-14.331923,14.431765
119,1.708994,0.000000,-14.283665,14.385539
120,1.723337,0.000000,-14.235401,14.339335
121,1.737679,0.000000,-14.187131,14.293153
122,1.752020,0.000000,-14.138856,14.246993
123,1.766360,0.000000,-14.090575,14.200856
124,1.780700,0.000000,-14.042287,14.154742
125,1.795039,0.000000,-13.993994,14.108651
126,1.809377,0.000000,-13.945694,14.062582
127,1.823715,0.000000,-13.897388,14.016537
128,1.838051,0.000000,-13.849075,13.970516
129,1.852387,0.000000,-13.800757,13.924519
130,1.866722,0.000000,-13.752431,13.878545
131,1.881055,0.000000,-13.704099,13.832596
132,1.895388,0.000000,-13.655760,13.786671
133,1.909720,0.000000,-13.607415,13.740771
134,1.924051,0.000000,-13.559063,13.694895
135,1.938381,0.000000,-13.510703,13.649045
136,1.952710,0.000000,-13.462337,13.603220
137,1.967038,0.000000,-13.413963,13.557421
138,1.981365,0.000000,-13.365582,13.511647
139,1.995691,0.000000,-13.317194,13.465899
140,2.010016,0.000000,-13.268799,13.420178
141,2.024340,0.000000,-13.220396,13.374483
142,2.038662,0.000000,-13.171985,13.328816
143,2.052983,0.000000,-13.123566,13.283175
144,2.067303,0.000000,-13.075140,13.237561
145,2.081622,0.000000,-13.026705,13.191975
146,2.095939,0.000000,-12.978263,13.146416
147,2.110255,0.000000,-12.929812,13.100886
148,2.124570,0.000000,-12.881353,13.055384
149,2.138883,0.000000,-12.832886,13.009911
150,2.153195,0.000000,-12.784410,12.964466
151,2.167506,0.000000,-12.735925,12.919051
152,2.181815,0.000000,-12.687432,12.873665
153,2.196122,0.000000,-12.638930,12.828308
154,2.210428,0.000000,-12.590419,12.782982
155,2.224733,0.000000,-12.541898,12.737686
156,2.239035,0.000000,-12.493369,12.692420
157,2.253336,0.000000,-12.444829,12.647186
158,2.267635,0.000000,-12.396281,12.601982
159,2.281933,0.000000,-12.347723,12.556810
160,2.296229,0.000000,-12.299155,12.511669
161,2.310522,0.000000,-12.250577,12.466561
162,2.324814,0.000000,-12.201989,12.421485
163,2.339104,0.000000,-12.153390,12.376442
164,2.353392,0.000000,-12.104782,12.331431
165,2.367678,0.000000,-12.056163,12.286454
166,2.381962,0.000000,-12.007533,12.241511
167,2.396244,0.000000,-11.958892,12.196602
168,2.410523,0.000000,-11.910241,12.151726
169,2.424800,0.000000,-11.861578,12.106886
170,2.439075,0.000000,-11.812904,12.062081
171,2.453348,0.000000,-11.764218,12.017311
172,2.467618,0.000000,-11.715521,11.972576
173,2.481886,0.000000,-11.666812,11.927878
174,2.496151,0.000000,-11.618092,11.883216
175,2.510413,0.000000,-11.569359,11.838591
176,2.524673,0.000000,-11.520613,11.794003
177,2.538930,0.000000,-11.471855,11.749452
178,2.553184,0.000000,-11.423085,11.704940
179,2.567436,0.000000,-11.374301,11.660466
180,2.581684,0.000000,-11.325505,11.616030
181,2.595930,0.000000,-11.276695,11.571634
182,2.610172,0.000000,-11.227872,11.527277
183,2.624411,0.000000,-11.179035,11.482959
184,2.638647,0.000000,-11.130184,11.438683
185,2.652879,0.000000,-11.081319,11.394446
186,2.667109,0.000000,-11.032440,11.350251
187,2.681334,0.000000,-10.983547,11.306098
188,2.695556,0.000000,-10.934638,11.261986
189,2.709774,0.000000,-10.885715,11.217917
190,2.723989,0.000000,-10.836777,11.173891
191,2.738200,0.000000,-10.787823,11.129908
192,2.752406,0.000000,-10.738853,11.085969
193,2.766609,0.000000,-10.689868,11.042074
194,2.780807,0.000000,-10.640866,10.998224
